Id,Categories
1249,"Category(ies): bug, test"
1111,"Category(ies): test, resource"
6046,Category(ies): bug
655,Error
5812,Category(ies): bug
7869,"Category(ies): feature, resource, test"
1535,"Category(ies): refactor, test"
5528,"Category(ies): bug, resource"
508,"Category(ies): bug, test"
943,Category(ies): resource
6305,Category(ies): bug
4695,"Category(ies): feature, test"
7214,Category(ies): resource
5899,Category(ies): bug
2432,Category(ies): test
4072,"Category(ies): bug, test"
222,Category(ies): bug
4854,Category(ies): resource
6333,"Category(ies): bug, feature, test"
5158,"Category(ies): bug, resource"
3951,Category(ies): bug
2446,Category(ies): feature
6709,"Category(ies): feature, test"
899,"Category(ies): deprecate, refactor"
3832,Category(ies): resource
3795,"Category(ies): refactor, test"
6847,Category(ies): refactor
4093,"Category(ies): refactor, test"
5050,Category(ies): resource
6736,"Category(ies): refactor, test"
4696,"Category(ies): feature, refactor"
244,"Category(ies): refactor, test"
2089,"Category(ies): feature, test"
1317,"Category(ies): feature, refactor, test, resource"
2069,"Category(ies): bug, resource"
2942,Category(ies): bug
4119,Category(ies): bug
5458,"Category(ies): feature, resource"
7567,Category(ies): bug
5692,Category(ies): resource
6967,"Category(ies): bug, resource"
4573,"Category(ies): bug, test"
4948,Category(ies): bug
6893,Category(ies): resource
3971,"Category(ies): feature, test, resource, bug"
2051,Category(ies): refactor
4298,Category(ies): bug
4106,"Category(ies): test, resource"
4374,"Category(ies): bug, refactor"
5030,"Category(ies): bug, resource"
5193,Category(ies): resource
3638,Category(ies): resource
299,Category(ies): resource
4982,"Category(ies): bug, resource"
6386,"Category(ies): bug, test"
2922,"Category(ies): refactor, feature, test"
1032,"Category(ies): bug, resource"
4946,"Category(ies): bug, test"
6480,Category(ies): bug
438,Category(ies): resource
2292,Category(ies): feature
1888,Category(ies): resource
7415,Category(ies): refactor
5178,Category(ies): bug
6261,"Category(ies): bug, test"
47,"Category(ies): refactor, test"
2705,"Category(ies): resource, test"
6411,"Category(ies): bug, refactor"
7172,Category(ies): bug
2150,Category(ies): refactor
3068,Category(ies): bug
4955,"Category(ies): feature, refactor, deprecate, test"
