Id,Categories
21048, Category: test
22345," Category: resource, feature, bug

The change updates a binary file (libc.so) which falls under resource category. However, the change also adds a new C library for android-9 platform which falls under feature category. Additionally, the change fixes an issue related to missing library for proper linking of new functions, hence bug category is also applicable."
21527, Category(ies): test
14746, Category: refactor
22313," Category: refactor, bug"
14395, Category: resource
18698," Category: resource, test"
21505," Category(ies): refactor

The change is removing an unneeded -clock unix core option and moving the 'dynticks' clock to the end of the list in qemu-timer.c, which is a refactoring task to improve the code quality and maintainability."
15404," Category(ies): resource, test"
15367," Category: refactor, feature"
23554, Category: test
11817, Category: bug
23810," Category: refactor, bug

The change is a bug fix for get\_customized\_country\_code() function that is not working correctly for older kernels. The developer has added a condition to check for the kernel version before executing the function. This is a refactoring of the existing code to handle older kernels better."
22071," Category: resource, compile

The change is made to define __ANDROID__ and set the correct CFLAGS variable for the x86 toolchain. This is a resource change as it updates the setup.mk file, which is a nonsource code resource. Additionally, this change can be considered a compile change since it modifies the CFLAGS variable used during compilation."
23670, Category: resource
16931, Category: refactor
15977, Category: resource
16302, Category: resource
18726, Category(ies): test
20238, Category: resource
11512, Category: refactor
15690," Category: resource, bug"
13772," Category: resource, feature

The change adds highmem and framebuffer to the harmony_defconfig file, which suggests it's updating nonsource code resources (resource category). Additionally, it's adding a new feature (framebuffer) to the configuration, so the feature category also applies."
12770," Category: refactor, resource

The change removes support for parsing WMF AMR tracks from the MP4 file parser, which falls under refactoring. Additionally, the change includes updates to SDK info files, which are non-source code resources, making it also a resource change."
24098," Category: refactor, bug"
20854," Category: feature, test"
16937," Category: resource, merge

The change is a revert of a previous commit, which implies it's a merge change. Additionally, the modified files are related to keymap files and configuration, which falls under the resource category."
18362," Category: refactor, resource"
24210," Category(ies): feature, refactor"
12211," Category: resource, feature

The change is updating nonsource code resources (SDKINFO_LABEL and SDKINFO_DATE definitions) to support some specific mp4 content, which falls under the resource category. Additionally, the change is implementing new features to support specific mp4 content, which falls under the feature category."
20170, Category: resource
22675, Category(ies): feature
18597," Category: refactor, feature

Reasoning: The change is refactoring the existing code to allow setting output mode without changing fb geometry, which is a new feature."
8657," Category: feature, refactor, resource, test"
10873," Category: refactor, feature

Reasoning: The change includes refactoring the existing code to better handle noise suppression for fast and standard modes, which is a new feature."
23611," Category: refactor, bug"
12479," Category: bug, test, resource, refactor"
19496," Category: refactor, resource"
22348," Category: refactor, merge

The change is reverting a previous commit (776bd3e46c2fb5c003ecec4fee99f01943876644) that removed a workaround for build conflicts when moving emulator-specific modules. This indicates that the previous change caused issues, so it's being reverted to maintain compatibility with internal branches. The primary focus is to restore the previous state, making it a merge/refactor category."
