Id,Categories
1249,"Category: bug, resource"
1111,"Category(ies): bug, test"
6046,Category(ies): bug
655,Prompt excedding
5812,"Category(ies): bug,"
7869,Prompt excedding
1535,"Category(ies): feature, bug"
5528,"Category(ies): bug, resource"
508,Prompt excedding
943,Category(ies): resource
6305,"Category(ies): bug, feature"
4695,"Category(ies): feature, test"
7214,Category(ies): resource
5899,"Category(ies): bug, feature"
2432,Category(ies): test
4072,"Category: bug, feature"
222,"Category(ies): bug, feature"
4854,Category(ies): resource
6333,"Category(ies): bug, feature, resource, test"
5158,Category(ies): resource
3951,Category(ies): bug
2446,Category(ies): feature
6709,Prompt excedding
899,"Category(ies): bug, deprecate"
3832,Category(ies): resource
3795,Prompt excedding
6847,Prompt excedding
4093,"Category(ies): bug, feature"
5050,"Category(ies): resource, bug"
6736,"Category: bug, refactor"
4696,"Category(ies): bug, feature"
244,"Category: feature, test"
2089,"Category(ies): bug, resource"
1317,Prompt excedding
2069,"Category(ies): bug, resource"
2942,Category(ies): bug
4119,"Category(ies): bug, refactor"
5458,"Category(ies): feature, resource"
7567,Category(ies): bug
5692,"Category(ies): bug, resource"
6967,"Category(ies): bug, resource"
4573,"Category(ies): bug, test"
4948,"Category(ies): bug, resource"
6893,"Category(ies): bug, resource"
3971,Prompt excedding
2051,Category(ies): refactor
4298,"Category(ies): bug, feature"
4106,Prompt excedding
4374,"Category(ies): bug, refactor"
5030,"Category(ies): bug, resource"
5193,Category(ies): resource
3638,"Category(ies): bug, resource"
299,Prompt excedding
4982,"Category(ies): bug, resource"
6386,"Category(ies): bug, feature"
2922,Prompt excedding
1032,"Category(ies): bug, resource"
4946,"Category(ies): bug, feature"
6480,"Category(ies): bug, feature"
438,Category(ies): resource
2292,"Category(ies): bug, feature"
1888,Category(ies): resource
7415,Category(ies): refactor
5178,"Category(ies): bug, resource"
6261,"Category(ies): bug, feature, test"
47,"Category: bug, resource"
2705,"Category(ies): feature, test"
6411,"Category(ies): bug, refactor"
7172,"Category(ies): bug, test"
2150,"Category(ies): bug, refactor"
3068,Category(ies): bug
4955,"Category(ies): bug, feature"
7452,Category(ies): resource
2569,Category(ies): feature
1054,Category(ies): resource
3320,"Category(ies): bug, feature"
3194,Category(ies): feature
2938,Prompt excedding
288,"Category(ies): bug, deprecate"
6244,Prompt excedding
5882,"Category(ies): bug, deprecate"
4985,"Category(ies): bug, resource"
5082,"Category(ies): bug, feature"
5491,"Category(ies): bug, test"
3429,"Category(ies): bug, test"
6977,"Category(ies): bug, resource"
3352,"Category(ies): bug, deprecate"
1681,Category(ies): resource
1655,"Category(ies): bug, resource"
4756,Category(ies): bug
4903,"Category: bug, feature"
4584,"Category(ies): feature, test"
5113,"Category(ies): bug, test"
7164,Category(ies): feature
6990,Prompt excedding
418,Category(ies): resource
7332,"Category: bug, feature"
5988,"Category(ies): bug, feature"
6670,Category(ies): bug
532,Category(ies): resource
3200,Category(ies): feature
6978,Category(ies): refactor
1597,"Category(ies): bug, resource"
4858,"Category(ies): bug, feature"
2185,"Category(ies): bug, test"
708,Category(ies): feature
5419,"Category(ies): resource, feature"
7414,"Category(ies): bug, feature"
6940,"Category(ies): bug, revert"
1356,Category(ies): resource
5688,"Category(ies): bug, resource"
7342,Prompt excedding
2297,"Category: bug, test"
1449,Category(ies): refactor
6242,"Category(ies): bug, test"
811,Prompt excedding
3597,Category(ies): feature
3119,"Category(ies): bug, resource"
7360,"Category: resource, doc"
5590,"Category(ies): bug, test"
5769,"Category: bug, resource"
867,Category(ies): bug
2740,"Category(ies): bug, deprecate"
3297,"Category(ies): bug, resource"
2802,"Category(ies): bug, fix"
4234,Category(ies): feature
3185,"Category(ies): bug, test"
6329,Category(ies): bug
443,"Category(ies): bug, test"
289,Category(ies): resource
2384,"Category(ies): resource, bug"
7005,"Category(ies): bug, feature"
4768,"Category(ies): bug, feature"
4768,"Category(ies): bug, feature"
5869,"Category(ies): bug, feature"
2405,Category(ies): feature
5862,"Category: bug, feature"
4603,"Category(ies): feature, resource"
1569,"Category(ies): bug, test"
3422,Category(ies): bug
7451,Category: refactor
1726,"Category(ies): bug, resource"
3926,"Category(ies): bug, resource"
2020,"Category(ies): bug,"
1386,"Category(ies): bug, feature"
3927,"Category(ies): bug, deprecate"
5808,Category(ies): resource
6207,"Category(ies): bug, feature, test"
3361,"Category(ies): bug, refactor"
423,Category(ies): feature
5094,"Category(ies): bug, test"
3880,Category(ies): bug
3700,Category(ies): bug
1149,Prompt excedding
2080,"Category(ies): resource, bug"
6767,Category(ies): refactor
1516,"Category(ies): bug, test"
4709,Category(ies): bug
683,Category(ies): resource
1316,"Category(ies): bug, feature, test"
1420,Category(ies): resource
7543,Prompt excedding
3315,"Category: bug, resource"
424,"Category(ies): bug, test"
4535,Prompt excedding
4355,"Category(ies): bug, resource"
5829,Prompt excedding
6845,Prompt excedding
1286,"Category(ies): bug, resource"
2066,Category(ies): feature
3031,"Category(ies): bug, refactor"
5811,Category(ies): bug
692,Category(ies): resource
2979,"Category(ies): bug, feature"
6982,Category(ies): bug
3903,"Category(ies): bug, resource"
923,Prompt excedding
6685,"Category(ies): resource, bug"
3265,"Category(ies): bug, deprecate"
1218,"Category(ies): bug, feature"
1256,Category(ies): feature
6942,Prompt excedding
1132,"Category(ies): bug, feature"
1628,Prompt excedding
7775,"Category(ies): bug, resource"
6987,"Category(ies): bug, feature"
6817,"Category(ies): bug, feature"
4639,Category(ies): feature
2981,"Category(ies): bug, resource"
5818,"Category(ies): bug, feature"
7907,"Category(ies): resource, bug"
249,Category(ies): feature
752,"Category(ies): bug, feature, test"
7175,"Category(ies): bug, feature, test"
3983,Category(ies): feature
2152,Prompt excedding
1676,"Category(ies): bug, feature, test"
4783,"Category(ies): bug, resource"
5204,"Category(ies): bug, feature"
490,Category(ies): resource
4385,"Category: bug, refactor"
948,Category(ies): feature
469,"Category(ies): bug, test"
6100,"Category(ies): bug, resource, test"
1907,"Category(ies): refactor, test"
3792,"Category(ies): bug, test"
3660,Category(ies): bug
4607,"Category(ies): resource, deprecate"
4607,"Category(ies): resource, deprecate"
6196,"Category(ies): bug, test"
4473,Category(ies): bug
1110,"Category(ies): bug, resource"
95,Prompt excedding
4987,Category(ies): resource
3506,"Category(ies): resource, bug"
6045,Category(ies): resource
3299,"Category(ies): bug, feature"
6012,"Category(ies): bug, feature"
6124,"Category: bug, test"
5385,"Category(ies): bug, feature"
5695,Category(ies): resource
4646,"Category(ies): bug, feature"
6423,"Category(ies): bug, refactor"
3323,Category(ies): bug
1593,Category(ies): feature
7219,Category(ies): bug
445,Category(ies): bug
6968,"Category(ies): bug, feature"
1830,Category(ies): bug
2273,"Category(ies): bug, feature"
7096,"Category(ies): bug, test"
7371,"Category(ies): bug, resource"
5657,Category(ies): bug
6034,"Category(ies): bug, feature"
6128,"Category(ies): bug, test"
7334,Category(ies): resource
7529,"Category(ies): resource, deprecate"
2729,Prompt excedding
3086,Category(ies): bug
2513,Category(ies): bug
985,Prompt excedding
5300,"Category(ies): bug, resource"
7382,"Category(ies): bug, test"
6452,"Category(ies): bug, feature"
1820,Prompt excedding
3135,"Category(ies): bug, feature"
6492,Category(ies): resource
241,"Category(ies): bug, feature"
5788,"Category(ies): bug, test"
319,Prompt excedding
6122,"Category(ies): bug, feature"
2674,Prompt excedding
1988,"Category: bug, resource"
6062,Category(ies): resource
101,Category(ies): feature
6047,Prompt excedding
1131,"Category(ies): bug, feature"
4518,Category(ies): bug
2960,Prompt excedding
2299,"Category(ies): bug, test"
6887,"Category(ies): bug, resource"
1952,Category(ies): bug
1055,Category(ies): resource
2074,"Category(ies): bug, feature"
6917,Category(ies): bug
5150,Category(ies): resource
5819,"Category(ies): bug, feature"
6834,"Category(ies): bug, feature"
5250,"Category(ies): bug, test"
5421,Category(ies): deprecate
4255,Category(ies): feature
729,"Category(ies): bug, feature"
6503,Category(ies): bug
6561,"Category(ies): bug, refactor"
3564,"Category(ies): feature, resource"
4120,Category(ies): bug
6867,Category(ies): bug
7699,Category(ies): bug
7629,Category(ies): bug
4757,"Category(ies): bug, resource"
2093,"Category(ies): bug,"
340,"Category(ies): bug, feature"
2451,Category(ies): bug
5894,Prompt excedding
3915,Category(ies): bug
4307,"Category(ies): bug, resource"
5817,Category(ies): bug
2278,Category(ies): bug
2332,Category(ies): resource
3331,Prompt excedding
6571,"Category(ies): bug, resource"
6537,Category(ies): refactor
